raw/disc/disc_acc_gen,raw/disc/disc_loss,raw/disc/global_step,raw/disc/n_generated,raw/disc/disc_proportion_expert_true,raw/disc/disc_acc_expert,raw/disc/disc_acc,raw/disc/disc_entropy,raw/disc/n_expert,raw/disc/disc_proportion_expert_pred
1.0,0.00013162015238776803,176689,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,5.581124423770234e-05,176689,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,8.2661586930044e-05,176690,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00015171567793004215,176690,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00017908820882439613,176691,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-8.135789539664984e-05,176691,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-6.0072707128711045e-05,176692,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00017146641039289534,176692,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00023593101650476456,176693,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00030772635363973677,176693,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,6.711587775498629e-05,176694,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.0002986280887853354,176694,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,7.6023192377761e-05,176695,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00023385899839922786,176695,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-4.734743561130017e-05,176696,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00014302819909062237,176696,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,9.128550300374627e-05,176697,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.0003374209627509117,176697,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00019213272025808692,176698,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0001553188485559076,176698,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00018674977764021605,176699,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00033681117929518223,176699,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,4.866966628469527e-05,176700,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,9.113116539083421e-05,176700,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-6.732514157192782e-05,176701,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00012944221089128405,176701,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,9.029409557115287e-05,176702,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00015546035137958825,176702,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0001951343147084117,176703,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0001966036797966808,176703,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00019688445900101215,176704,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0001704473397694528,176704,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00011216564598726109,176705,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00014695257414132357,176705,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00014461291721090674,176706,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00030636106384918094,176706,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00023330014664679766,176707,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00025308376643806696,176707,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00046971216215752065,176708,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00013120289077050984,176708,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0001027379184961319,176709,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00023379793856292963,176709,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.1145162716275081e-05,176710,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.5690969778224826e-06,176710,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00011184103641426191,176711,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00016431623953394592,176711,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0001670958154136315,176712,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00015200217603705823,176712,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.0003418143605813384,176713,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00018668184929993004,176713,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.000318384263664484,176714,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00016677702660672367,176714,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,4.402559716254473e-05,176715,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0004791149985976517,176715,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00016742918523959816,176716,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-3.00724568660371e-05,176716,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-3.815042146015912e-05,176717,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00011867194552905858,176717,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-9.489097283221781e-05,176718,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-7.648475002497435e-05,176718,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.8382419259287417e-05,176719,32.0,0.5,1.0,1.0,0.0,32.0,0.5
