mean/disc/disc_acc,mean/disc/n_generated,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc_gen,mean/disc/disc_loss,mean/disc/disc_entropy,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_true,mean/disc/global_step,mean/disc/n_expert
1.0,32.0,0.5,1.0,-3.1129854505707044e-05,0.0,1.0,0.5,316976.0,32.0
1.0,32.0,0.5,1.0,-3.85778330382891e-05,0.0,1.0,0.5,316977.0,32.0
1.0,32.0,0.5,1.0,5.073327156424057e-05,0.0,1.0,0.5,316978.0,32.0
1.0,32.0,0.5,1.0,-6.94049995217938e-05,0.0,1.0,0.5,316979.0,32.0
1.0,32.0,0.5,1.0,-4.5032631533103995e-05,0.0,1.0,0.5,316980.0,32.0
1.0,32.0,0.5,1.0,-5.563339072978124e-05,0.0,1.0,0.5,316981.0,32.0
1.0,32.0,0.5,1.0,-7.884184014983475e-06,0.0,1.0,0.5,316982.0,32.0
1.0,32.0,0.5,1.0,1.4740529877599329e-05,0.0,1.0,0.5,316983.0,32.0
1.0,32.0,0.5,1.0,3.426868170208763e-05,0.0,1.0,0.5,316984.0,32.0
1.0,32.0,0.5,1.0,-1.0159621524508111e-05,0.0,1.0,0.5,316985.0,32.0
1.0,32.0,0.5,1.0,-5.83951550652273e-05,0.0,1.0,0.5,316986.0,32.0
1.0,32.0,0.5,1.0,4.582751716952771e-05,0.0,1.0,0.5,316987.0,32.0
1.0,32.0,0.5,1.0,3.6626703149522655e-05,0.0,1.0,0.5,316988.0,32.0
1.0,32.0,0.5,1.0,-2.543479422456585e-05,0.0,1.0,0.5,316989.0,32.0
1.0,32.0,0.5,1.0,-2.5334486053907312e-05,0.0,1.0,0.5,316990.0,32.0
1.0,32.0,0.5,1.0,-8.476677976432256e-06,0.0,1.0,0.5,316991.0,32.0
1.0,32.0,0.5,1.0,0.0001128050935221836,0.0,1.0,0.5,316992.0,32.0
1.0,32.0,0.5,1.0,4.573709702526685e-05,0.0,1.0,0.5,316993.0,32.0
1.0,32.0,0.5,1.0,3.002574430865934e-05,0.0,1.0,0.5,316994.0,32.0
1.0,32.0,0.5,1.0,-8.794326276984066e-06,0.0,1.0,0.5,316995.0,32.0
1.0,32.0,0.5,1.0,2.0108984244870953e-05,0.0,1.0,0.5,316996.0,32.0
1.0,32.0,0.5,1.0,-3.2499759981874377e-05,0.0,1.0,0.5,316997.0,32.0
1.0,32.0,0.5,1.0,3.71203241229523e-05,0.0,1.0,0.5,316998.0,32.0
1.0,32.0,0.5,1.0,0.0001287762243009638,0.0,1.0,0.5,316999.0,32.0
1.0,32.0,0.5,1.0,0.00011125410310341977,0.0,1.0,0.5,317000.0,32.0
1.0,32.0,0.5,1.0,-1.0530224244575948e-05,0.0,1.0,0.5,317001.0,32.0
1.0,32.0,0.5,1.0,2.1309683233994292e-05,0.0,1.0,0.5,317002.0,32.0
1.0,32.0,0.5,1.0,-3.618800656113308e-05,0.0,1.0,0.5,317003.0,32.0
1.0,32.0,0.5,1.0,-7.085446668497752e-05,0.0,1.0,0.5,317004.0,32.0
1.0,32.0,0.5,1.0,4.428485863172682e-05,0.0,1.0,0.5,317005.0,32.0
1.0,32.0,0.5,1.0,-4.616264232026879e-05,0.0,1.0,0.5,317006.0,32.0
1.0,32.0,0.5,1.0,-1.9800658265012316e-05,0.0,1.0,0.5,317007.0,32.0
1.0,32.0,0.5,1.0,-5.627197606372647e-05,0.0,1.0,0.5,317008.0,32.0
1.0,32.0,0.5,1.0,6.192174259922467e-05,0.0,1.0,0.5,317009.0,32.0
1.0,32.0,0.5,1.0,-2.048400892817881e-05,0.0,1.0,0.5,317010.0,32.0
1.0,32.0,0.5,1.0,-5.90083818678977e-05,0.0,1.0,0.5,317011.0,32.0
1.0,32.0,0.5,1.0,2.0811981812585145e-05,0.0,1.0,0.5,317012.0,32.0
1.0,32.0,0.5,1.0,-4.694777953773155e-05,0.0,1.0,0.5,317013.0,32.0
1.0,32.0,0.5,1.0,-8.845790216582827e-05,0.0,1.0,0.5,317014.0,32.0
1.0,32.0,0.5,1.0,-2.965569910884369e-05,0.0,1.0,0.5,317015.0,32.0
1.0,32.0,0.5,1.0,9.891742229228839e-05,0.0,1.0,0.5,317016.0,32.0
1.0,32.0,0.5,1.0,-0.00012398198668961413,0.0,1.0,0.5,317017.0,32.0
1.0,32.0,0.5,1.0,-1.8792692571878433e-05,0.0,1.0,0.5,317018.0,32.0
1.0,32.0,0.5,1.0,0.00010059775377158076,0.0,1.0,0.5,317019.0,32.0
1.0,32.0,0.5,1.0,2.078429315588437e-05,0.0,1.0,0.5,317020.0,32.0
1.0,32.0,0.5,1.0,1.8722532331594266e-05,0.0,1.0,0.5,317021.0,32.0
1.0,32.0,0.5,1.0,-8.336748032888863e-05,0.0,1.0,0.5,317022.0,32.0
1.0,32.0,0.5,1.0,1.564798003528267e-05,0.0,1.0,0.5,317023.0,32.0
1.0,32.0,0.5,1.0,-1.3100105206831358e-05,0.0,1.0,0.5,317024.0,32.0
1.0,32.0,0.5,1.0,4.58218710264191e-05,0.0,1.0,0.5,317025.0,32.0
1.0,32.0,0.5,1.0,-8.455287024844438e-05,0.0,1.0,0.5,317026.0,32.0
1.0,32.0,0.5,1.0,0.00013254615441837814,0.0,1.0,0.5,317027.0,32.0
1.0,32.0,0.5,1.0,-3.16959935844352e-05,0.0,1.0,0.5,317028.0,32.0
1.0,32.0,0.5,1.0,0.0002912109484896064,0.0,1.0,0.5,317029.0,32.0
1.0,32.0,0.5,1.0,-7.098662172211334e-05,0.0,1.0,0.5,317030.0,32.0
1.0,32.0,0.5,1.0,1.1808462659246288e-05,0.0,1.0,0.5,317031.0,32.0
1.0,32.0,0.5,1.0,9.427627810509875e-05,0.0,1.0,0.5,317032.0,32.0
1.0,32.0,0.5,1.0,3.612953150877729e-05,0.0,1.0,0.5,317033.0,32.0
1.0,32.0,0.5,1.0,3.210499016859103e-05,0.0,1.0,0.5,317034.0,32.0
1.0,32.0,0.5,1.0,-0.00010665507943485864,0.0,1.0,0.5,317035.0,32.0
1.0,32.0,0.5,1.0,2.6651923690224066e-06,0.0,1.0,0.5,317036.0,32.0
1.0,32.0,0.5,1.0,1.583476978339604e-05,0.0,1.0,0.5,317037.0,32.0
1.0,32.0,0.5,1.0,1.7953077986021526e-05,0.0,1.0,0.5,317038.0,32.0
1.0,32.0,0.5,1.0,0.0001787703440641053,0.0,1.0,0.5,317039.0,32.0
1.0,32.0,0.5,1.0,-2.1435227608890273e-05,0.0,1.0,0.5,317040.0,32.0
1.0,32.0,0.5,1.0,6.86332059558481e-05,0.0,1.0,0.5,317041.0,32.0
1.0,32.0,0.5,1.0,9.915465852827765e-07,0.0,1.0,0.5,317042.0,32.0
1.0,32.0,0.5,1.0,1.7520790606795345e-05,0.0,1.0,0.5,317043.0,32.0
1.0,32.0,0.5,1.0,7.79723441155511e-05,0.0,1.0,0.5,317044.0,32.0
1.0,32.0,0.5,1.0,-3.502314575598575e-05,0.0,1.0,0.5,317045.0,32.0
1.0,32.0,0.5,1.0,-3.9374354855681304e-05,0.0,1.0,0.5,317046.0,32.0
1.0,32.0,0.5,1.0,7.921082215034403e-06,0.0,1.0,0.5,317047.0,32.0
1.0,32.0,0.5,1.0,5.4611999075859785e-05,0.0,1.0,0.5,317048.0,32.0
1.0,32.0,0.5,1.0,-6.482509797933744e-05,0.0,1.0,0.5,317049.0,32.0
1.0,32.0,0.5,1.0,3.719461528817192e-05,0.0,1.0,0.5,317050.0,32.0
1.0,32.0,0.5,1.0,-3.5526825740817e-05,0.0,1.0,0.5,317051.0,32.0
1.0,32.0,0.5,1.0,2.3719927412457764e-05,0.0,1.0,0.5,317052.0,32.0
1.0,32.0,0.5,1.0,-0.00011195923798368312,0.0,1.0,0.5,317053.0,32.0
1.0,32.0,0.5,1.0,1.88301496564236e-05,0.0,1.0,0.5,317054.0,32.0
1.0,32.0,0.5,1.0,0.00012915232946397737,0.0,1.0,0.5,317055.0,32.0
1.0,32.0,0.5,1.0,3.971925798396114e-05,0.0,1.0,0.5,317056.0,32.0
1.0,32.0,0.5,1.0,7.465336966561154e-05,0.0,1.0,0.5,317057.0,32.0
1.0,32.0,0.5,1.0,-4.772208785652765e-05,0.0,1.0,0.5,317058.0,32.0
1.0,32.0,0.5,1.0,1.7604588720132597e-05,0.0,1.0,0.5,317059.0,32.0
1.0,32.0,0.5,1.0,-1.349212288914714e-05,0.0,1.0,0.5,317060.0,32.0
1.0,32.0,0.5,1.0,-9.897870222630445e-05,0.0,1.0,0.5,317061.0,32.0
1.0,32.0,0.5,1.0,5.157382838660851e-05,0.0,1.0,0.5,317062.0,32.0
1.0,32.0,0.5,1.0,4.650206392398104e-06,0.0,1.0,0.5,317063.0,32.0
1.0,32.0,0.5,1.0,7.954434840939939e-05,0.0,1.0,0.5,317064.0,32.0
1.0,32.0,0.5,1.0,-6.521312752738595e-05,0.0,1.0,0.5,317065.0,32.0
1.0,32.0,0.5,1.0,4.659381397686957e-05,0.0,1.0,0.5,317066.0,32.0
1.0,32.0,0.5,1.0,-5.585219241766026e-06,0.0,1.0,0.5,317067.0,32.0
1.0,32.0,0.5,1.0,1.0018628017860465e-05,0.0,1.0,0.5,317068.0,32.0
1.0,32.0,0.5,1.0,5.220979164732853e-05,0.0,1.0,0.5,317069.0,32.0
1.0,32.0,0.5,1.0,-5.6453058277838863e-05,0.0,1.0,0.5,317070.0,32.0
1.0,32.0,0.5,1.0,-1.4777833712287247e-06,0.0,1.0,0.5,317071.0,32.0
1.0,32.0,0.5,1.0,9.449399840377737e-06,0.0,1.0,0.5,317072.0,32.0
1.0,32.0,0.5,1.0,3.595668931666296e-05,0.0,1.0,0.5,317073.0,32.0
1.0,32.0,0.5,1.0,-4.070011345902458e-05,0.0,1.0,0.5,317074.0,32.0
1.0,32.0,0.5,1.0,0.00011149377678520977,0.0,1.0,0.5,317075.0,32.0
1.0,32.0,0.5,1.0,1.1472467122075614e-05,0.0,1.0,0.5,317076.0,32.0
1.0,32.0,0.5,1.0,3.042111529794056e-05,0.0,1.0,0.5,317077.0,32.0
1.0,32.0,0.5,1.0,-0.00011185125913470984,0.0,1.0,0.5,317078.0,32.0
1.0,32.0,0.5,1.0,1.5023833839222789e-05,0.0,1.0,0.5,317079.0,32.0
1.0,32.0,0.5,1.0,-1.9163180695613846e-05,0.0,1.0,0.5,317080.0,32.0
1.0,32.0,0.5,1.0,-3.62448045052588e-05,0.0,1.0,0.5,317081.0,32.0
1.0,32.0,0.5,1.0,2.4031636712606996e-05,0.0,1.0,0.5,317082.0,32.0
1.0,32.0,0.5,1.0,-2.9771827030344866e-05,0.0,1.0,0.5,317083.0,32.0
1.0,32.0,0.5,1.0,-7.462050052708946e-05,0.0,1.0,0.5,317084.0,32.0
1.0,32.0,0.5,1.0,-3.4948225220432505e-05,0.0,1.0,0.5,317085.0,32.0
1.0,32.0,0.5,1.0,0.00020404227052495116,0.0,1.0,0.5,317086.0,32.0
1.0,32.0,0.5,1.0,5.232641342445277e-05,0.0,1.0,0.5,317087.0,32.0
1.0,32.0,0.5,1.0,-6.54257855785545e-05,0.0,1.0,0.5,317088.0,32.0
1.0,32.0,0.5,1.0,-4.464896392164519e-06,0.0,1.0,0.5,317089.0,32.0
1.0,32.0,0.5,1.0,-2.7106743800686672e-05,0.0,1.0,0.5,317090.0,32.0
1.0,32.0,0.5,1.0,6.915612539160065e-05,0.0,1.0,0.5,317091.0,32.0
1.0,32.0,0.5,1.0,6.023185960657429e-05,0.0,1.0,0.5,317092.0,32.0
1.0,32.0,0.5,1.0,4.9883557949215174e-05,0.0,1.0,0.5,317093.0,32.0
1.0,32.0,0.5,1.0,8.706545122549869e-05,0.0,1.0,0.5,317094.0,32.0
1.0,32.0,0.5,1.0,-6.502961514343042e-05,0.0,1.0,0.5,317095.0,32.0
1.0,32.0,0.5,1.0,-5.5514261475764215e-05,0.0,1.0,0.5,317096.0,32.0
1.0,32.0,0.5,1.0,-9.270328519050963e-06,0.0,1.0,0.5,317097.0,32.0
1.0,32.0,0.5,1.0,3.214906973880716e-05,0.0,1.0,0.5,317098.0,32.0
1.0,32.0,0.5,1.0,-4.651279596146196e-06,0.0,1.0,0.5,317099.0,32.0
1.0,32.0,0.5,1.0,0.0001013687988233869,0.0,1.0,0.5,317100.0,32.0
1.0,32.0,0.5,1.0,9.863775812846143e-05,0.0,1.0,0.5,317101.0,32.0
1.0,32.0,0.5,1.0,1.8433087461744435e-05,0.0,1.0,0.5,317102.0,32.0
1.0,32.0,0.5,1.0,1.5816844097571447e-05,0.0,1.0,0.5,317103.0,32.0
1.0,32.0,0.5,1.0,6.558909808518365e-05,0.0,1.0,0.5,317104.0,32.0
1.0,32.0,0.5,1.0,3.897502756444737e-05,0.0,1.0,0.5,317105.0,32.0
1.0,32.0,0.5,1.0,0.00012345123695922666,0.0,1.0,0.5,317106.0,32.0
1.0,32.0,0.5,1.0,-2.357154880883172e-05,0.0,1.0,0.5,317107.0,32.0
1.0,32.0,0.5,1.0,-4.152057954343036e-05,0.0,1.0,0.5,317108.0,32.0
1.0,32.0,0.5,1.0,-0.00010698464757297188,0.0,1.0,0.5,317109.0,32.0
1.0,32.0,0.5,1.0,-4.529876150627388e-05,0.0,1.0,0.5,317110.0,32.0
1.0,32.0,0.5,1.0,-1.4015580745763145e-05,0.0,1.0,0.5,317111.0,32.0
1.0,32.0,0.5,1.0,-7.463213660230394e-05,0.0,1.0,0.5,317112.0,32.0
1.0,32.0,0.5,1.0,9.560613762005232e-06,0.0,1.0,0.5,317113.0,32.0
1.0,32.0,0.5,1.0,-9.94172805803828e-05,0.0,1.0,0.5,317114.0,32.0
1.0,32.0,0.5,1.0,2.621093426569132e-05,0.0,1.0,0.5,317115.0,32.0
1.0,32.0,0.5,1.0,5.226925168244634e-05,0.0,1.0,0.5,317116.0,32.0
1.0,32.0,0.5,1.0,-6.9260904638213105e-06,0.0,1.0,0.5,317117.0,32.0
1.0,32.0,0.5,1.0,2.20866877498338e-05,0.0,1.0,0.5,317118.0,32.0
1.0,32.0,0.5,1.0,-3.962401933677029e-05,0.0,1.0,0.5,317119.0,32.0
1.0,32.0,0.5,1.0,8.924522626330145e-05,0.0,1.0,0.5,317120.0,32.0
1.0,32.0,0.5,1.0,-1.1964905752392951e-05,0.0,1.0,0.5,317121.0,32.0
1.0,32.0,0.5,1.0,1.5996754882507958e-05,0.0,1.0,0.5,317122.0,32.0
1.0,32.0,0.5,1.0,-2.4625976948300377e-05,0.0,1.0,0.5,317123.0,32.0
1.0,32.0,0.5,1.0,-2.727416176639963e-05,0.0,1.0,0.5,317124.0,32.0
1.0,32.0,0.5,1.0,2.5348557755933143e-05,0.0,1.0,0.5,317125.0,32.0
1.0,32.0,0.5,1.0,3.810920770774828e-05,0.0,1.0,0.5,317126.0,32.0
1.0,32.0,0.5,1.0,-1.6165908164111897e-05,0.0,1.0,0.5,317127.0,32.0
1.0,32.0,0.5,1.0,1.4569973245670553e-05,0.0,1.0,0.5,317128.0,32.0
