bc/epoch_num,bc/ent_loss,bc/prob_true_act,bc/batch_num,bc/l2_loss,bc/loss,bc/l2_norm,bc/samples_so_far,bc/entropy,bc/neglogp
0,0.024894757196307182,126323477.1728876,1,0.0,-18.571941078851818,4858.26806640625,32,-24.894756317138672,-18.596835836048125
2,0.0244437325745821,192291470714.71228,501,0.0,-25.92328033521999,4848.29296875,15998,-24.4437313079834,-25.94772406779457
4,0.024485215544700623,185122936286.44244,1001,0.0,-25.85683334479677,4848.3359375,31964,-24.485214233398438,-25.88131856034147
6,0.024526288732886314,216992813753.71838,1501,0.0,-26.044640014444237,4848.4091796875,47930,-24.526287078857422,-26.069166303177123
8,0.02455388754606247,192017272633.10547,2001,0.0,-25.891133912263484,4848.599609375,63896,-24.55388641357422,-25.915687799809547
10,0.02457008883357048,185685259319.69275,2501,0.0,-25.88014563910356,4848.7177734375,79862,-24.570087432861328,-25.90471572793713
12,0.024576378986239433,179586089704.22787,3001,0.0,-25.826513867653997,4848.79931640625,95828,-24.576377868652344,-25.851090246640236
14,0.02458370104432106,215899483473.1267,3501,0.0,-26.029426802638852,4848.73828125,111794,-24.58370018005371,-26.054010503683173
17,0.024585766717791557,207602624512.24573,4001,0.0,-25.987053371304384,4848.501953125,127743,-24.585765838623047,-26.011639138022176
19,0.02458876743912697,218627462755.42938,4501,0.0,-26.007466496221074,4848.2236328125,143709,-24.58876609802246,-26.0320552636602
21,0.024597464129328728,160400822909.69354,5001,0.0,-24.90472226446311,4849.4931640625,159675,-24.597463607788086,-24.92931972859244
23,0.024588748812675476,216633604257.28018,5501,0.0,-26.0512949181048,4850.20166015625,175641,-24.588747024536133,-26.075883666917477
25,0.024588201195001602,181901011730.1132,6001,0.0,-25.860106556582103,4851.38427734375,191607,-24.588199615478516,-25.884694757777105
27,0.024607613682746887,198266171761.65662,6501,0.0,-25.91857681934653,4851.7705078125,207573,-24.60761260986328,-25.943184433029277
29,0.02461121790111065,200789389291.72192,7001,0.0,-25.991538088155316,4852.09765625,223539,-24.611217498779297,-26.016149306056427
31,0.024623436853289604,195197268290.317,7501,0.0,-25.960637088241768,4854.92236328125,239505,-24.623435974121094,-25.985260525095057
34,0.024646801874041557,156693055733.6101,8001,0.0,-23.963665879948923,4854.52099609375,255454,-24.646800994873047,-23.988312681822965
36,0.024685587733983994,249095479124.7788,8501,0.0,-26.17323079153266,4855.25048828125,271420,-24.68558692932129,-26.197916379266644
38,0.024726396426558495,182585499391.18073,9001,0.0,-25.818902737690482,4856.82080078125,287386,-24.726394653320312,-25.84362913411704
40,0.02476559206843376,182833634091.1928,9501,0.0,-25.858442245073938,4857.29052734375,303352,-24.76559066772461,-25.883207837142372
42,0.024814732372760773,184367066159.41583,10001,0.0,-25.87895827789474,4858.0556640625,319318,-24.81473159790039,-25.9037730102675
44,0.024882016703486443,141045981633.14624,10501,0.0,-25.614691636059725,4858.3759765625,335284,-24.882015228271484,-25.63957365276321
46,0.024959828704595566,355962527459.321,11001,0.0,-26.539503930763964,4858.73828125,351250,-24.959827423095703,-26.56446375946856
48,0.024474915117025375,215317113441.32257,11501,0.0,-26.040255988538654,4857.20166015625,367216,-24.47491455078125,-26.06473090365568
51,0.024492749944329262,224041952159.81818,12001,0.0,-26.059838461653758,4858.57861328125,383165,-24.492748260498047,-26.084331211598087
53,0.024528786540031433,206638307847.67175,12501,0.0,-26.01072139074818,4859.50439453125,399131,-24.528785705566406,-26.035250177288212
55,0.024567684158682823,180282016457.13846,13001,0.0,-25.876666927473092,4860.43896484375,415097,-24.56768226623535,-25.901234611631775
57,0.024601956829428673,231136257884.4452,13501,0.0,-26.08591861804965,4860.81201171875,431063,-24.60195541381836,-26.11052057487908
59,0.02462868019938469,226770100816.5626,14001,0.0,-26.0541542575753,4860.96630859375,447029,-24.628679275512695,-26.078782937774683
