raw/disc/disc_proportion_expert_pred,raw/disc/global_step,raw/disc/disc_acc,raw/disc/n_generated,raw/disc/n_expert,raw/disc/disc_loss,raw/disc/disc_entropy,raw/disc/disc_acc_expert,raw/disc/disc_acc_gen,raw/disc/disc_proportion_expert_true
0.5,198366,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198366,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198367,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198367,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198368,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198368,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198369,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198369,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198370,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198370,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198371,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198371,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198372,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198372,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198373,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198373,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198374,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198374,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198375,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198375,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198376,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198376,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198377,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198377,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198378,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198378,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198379,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198379,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198380,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198380,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198381,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198381,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198382,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198382,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198383,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198383,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198384,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198384,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198385,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198385,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198386,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198386,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198387,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198387,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198388,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198388,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198389,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198389,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198390,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198390,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198391,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198391,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198392,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198392,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198393,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198393,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198394,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198394,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198395,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198395,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198396,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198396,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198397,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198397,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198398,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198398,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198399,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198399,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198400,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198400,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198401,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198401,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198402,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198402,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198403,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
