mean/disc/n_generated,mean/disc/disc_entropy,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc,mean/disc/n_expert,mean/disc/disc_loss,mean/disc/disc_acc_gen,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_true,mean/disc/global_step
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118202.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118203.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118204.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118205.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118206.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118207.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118208.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118209.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118210.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118211.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118212.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118213.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118214.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118215.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118216.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118217.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118218.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118219.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118220.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118221.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118222.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118223.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118224.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118225.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118226.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118227.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118228.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118229.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118230.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118231.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118232.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118233.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118234.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118235.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118236.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118237.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118238.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118239.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118240.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118241.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118242.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118243.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118244.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118245.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118246.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118247.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118248.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118249.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118250.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118251.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118252.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118253.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118254.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118255.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118256.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118257.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118258.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118259.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118260.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118261.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118262.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118263.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118264.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118265.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118266.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118267.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118268.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118269.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118270.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118271.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118272.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118273.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,118274.0
