time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/explained_variance,rollout/ep_rew_wrapped_mean,train/value_loss,train/n_updates,train/clip_range,train/clip_fraction,train/entropy_loss,train/std,train/loss
24576,54,447,21.88,1,-21.88,,,,,,,,,,,,
49152,57,851,21.51,1,-21.51,-0.004449052734101618,0.0003,0.006345466,-0.9137712717056274,16.056979991793632,0.22894468017475447,10,0.2,0.06300862630208333,-5.710335299248497,1.009647011756897,0.04072993993759155
73728,52,1399,22.25,1,-22.25,-0.006678192261703467,0.0003,0.007800992,0.7908674776554108,15.730755650997162,0.029865941225458905,20,0.2,0.082421875,-5.693904949476321,1.005903720855713,0.010601941496133804
98304,54,1818,23.2,1,-23.2,-0.016637642435913827,0.0003,0.011181728,0.9441945664584637,16.120034903287888,0.039578458758235985,30,0.2,0.15576171875,-5.64660167718927,0.9920494556427002,0.010451458394527435
122880,54,2275,24.91,1,-24.91,-0.02111100520111601,0.0003,0.01420628,0.9546037390828133,16.756395079493522,0.04436131874608691,40,0.2,0.19025472005208333,-5.58623467994233,0.976269543170929,0.0009476989507675171
147456,50,2900,26.53,1,-26.53,-0.02284671227086316,0.0003,0.015778502,0.9435793459415436,17.870987522602082,0.06173812562750148,50,0.2,0.20491536458333334,-5.509295867880185,0.9592746496200562,0.008772823959589005
172032,45,3783,29.59,1,-29.59,-0.02423017370601883,0.0003,0.017064722,0.9225200638175011,18.969605230093002,0.09736358519051767,60,0.2,0.21776123046875,-5.4194605007767676,0.9390959739685059,-0.008790628984570503
196608,47,4132,32.44,1,-32.44,-0.022749616678387003,0.0003,0.017343743,0.9108402281999588,21.070110349059107,0.12776559579651803,70,0.2,0.21584065755208334,-5.336381616070867,0.9178463220596313,0.012560021132230759
221184,135,1630,5.6,1,-5.6,-0.02186687918995934,0.0003,0.01849865,0.9004730582237244,22.917546988129615,0.15924196049842673,80,0.2,0.22927652994791667,-5.220664014046391,0.8935266137123108,0.07385019212961197
245760,166,1477,3.58,1,-3.58,-0.005402228313566108,0.0003,0.010612895,0.23732370138168335,3.9911229375004766,0.23713967370567843,90,0.2,0.1199951171875,-5.158623891199628,0.8777575492858887,0.06514935195446014
270336,206,1310,4.1,1,-4.1,-0.01680611003030208,0.0003,0.015156839,0.9112652987241745,2.497717309296131,0.1830361025010158,100,0.2,0.18356526692708333,-5.05848500157396,0.859088659286499,0.11850375682115555
294912,202,1454,3.21,1,-3.21,-0.015543757634198603,0.0003,0.015119945,0.932867132127285,2.87908175945282,0.1435467200363443,110,0.2,0.17614339192708334,-4.966942099605998,0.8406772017478943,0.0478392168879509
319488,197,1615,3.89,1,-3.89,-0.014829188787552993,0.0003,0.01429357,0.9396563209593296,2.1636290004849434,0.13835503321994716,120,0.2,0.17064615885416667,-4.875569669529796,0.8215683698654175,0.03350213170051575
344064,238,1443,2.11,1,-2.11,-0.013117065689705972,0.0003,0.014775366,0.9426198713481426,2.641758719086647,0.12554577717819485,130,0.2,0.16766764322916666,-4.7819918807595965,0.8046380281448364,0.004690617322921753
368640,299,1231,1.67,1,-1.67,-0.002142597507190658,0.0003,0.011205272,0.6272809505462646,1.402662095427513,0.1819270548808466,140,0.2,0.13382975260416666,-4.789466518908739,0.8071575164794922,0.059195902198553085
393216,370,1061,1.5,1,-1.5,-0.010628664115210995,0.0003,0.014718386,0.9325360134243965,1.1185486704111098,0.12487982276409942,150,0.2,0.17087809244791666,-4.714032071207961,0.791454017162323,0.1479119509458542
417792,404,1033,1.0,1,-1.0,-0.005989884075340039,0.0003,0.013370763,0.9324058964848518,0.9530132550001145,0.08297797420927963,160,0.2,0.15332438151041666,-4.66666821675996,0.7834721803665161,0.031799860298633575
442368,455,971,1.0,1,-1.0,-0.010706865732451358,0.0003,0.013506174,0.9629842229187489,0.6099583566188812,0.0632399888180468,170,0.2,0.13992513020833333,-4.598673266172409,0.7713499069213867,0.031474482268095016
466944,461,1010,1.0,1,-1.0,-0.010616950520246367,0.0003,0.013304982,0.9715534523129463,0.5930977869033813,0.035833236602047694,180,0.2,0.12885335286458333,-4.54097988307476,0.7591279745101929,-0.010301603004336357
491520,502,977,1.0,1,-1.0,-0.011867505088412144,0.0003,0.014599395,0.9757050145417452,0.5756837755441666,0.032093225071427395,190,0.2,0.1432373046875,-4.452139446015159,0.7401731014251709,0.012000360526144505
516096,565,912,1.0,1,-1.0,-0.00012311654766866315,0.0003,0.012103438,0.4630467891693115,0.5625925189256669,0.065437189736258,200,0.2,0.12994384765625,-4.497558057929079,0.7540642023086548,0.13231277465820312
540672,565,955,1.0,1,-1.0,-0.00873100209767775,0.0003,0.011049057,0.9631886705756187,0.5471051436662674,0.02420613104814038,210,0.2,0.12041829427083334,-4.4645660058905685,0.743801474571228,-0.020987115800380707
565248,568,993,1.0,1,-1.0,-0.008592070500768993,0.0003,0.012314898,0.9693577252328396,0.5336480486392975,0.02119227109304423,220,0.2,0.14996337890625,-4.402990373720725,0.7313100099563599,-0.019711792469024658
