bc/epoch_num,bc/l2_loss,bc/loss,bc/batch_num,bc/prob_true_act,bc/entropy,bc/samples_so_far,bc/neglogp,bc/l2_norm,bc/ent_loss
0,0.0,3.7817443455357047,1,0.022691691332672306,5.675754070281982,32,3.787420100045571,55.50019454956055,-0.005675754509866238
11,0.0,1.6955644788970967,501,0.18287092202907373,3.6747496128082275,16021,1.6992392286477407,56.994972229003906,-0.0036747497506439686
22,0.0,-0.22027306040150318,1001,1.2474507918448505,1.6946569681167603,32010,-0.21857840337657575,58.8624267578125,-0.0016946570249274373
33,0.0,-1.998304262520733,1501,7.47302125826071,-0.2282198667526245,47999,-1.9985324824045987,61.6494255065918,0.00022821988386567682
44,0.0,-3.576971840304274,2001,38.23216929815157,-2.014303684234619,63988,-3.578986144117031,64.9119644165039,0.0020143038127571344
55,0.0,-4.412159742439928,2501,110.14639465539886,-3.4744155406951904,79977,-4.415634158185514,68.24171447753906,0.003474415745586157
66,0.0,-4.459977208320379,3001,212.5494599287756,-4.44130277633667,95966,-4.464418511521399,70.68621063232422,0.004441303201019764
77,0.0,-5.223427947126696,3501,322.0118691939107,-4.860915184020996,111955,-5.228288862370322,72.14237213134766,0.004860915243625641
88,0.0,-4.867539634844613,4001,348.04286987236253,-4.89234733581543,127944,-4.872431982225132,72.3346939086914,0.004892347380518913
100,0.0,-5.827852314034422,4501,507.303292084132,-5.022336483001709,143932,-5.8328746507632925,72.79304504394531,0.005022336728870869
111,0.0,-5.6399641189939835,5001,551.0016358141398,-5.225055694580078,159921,-5.645189174845026,73.84162902832031,0.005225055851042271
122,0.0,-5.409619720994266,5501,421.09511267698815,-5.135795593261719,175910,-5.414755517027112,73.74616241455078,0.005135796032845974
133,0.0,-4.251268002370484,6001,453.81891061044644,-5.452025413513184,191899,-4.256720028052218,74.99603271484375,0.005452025681734085
144,0.0,-5.541216368766201,6501,540.7219273418327,-5.342307090759277,207888,-5.546558676266742,74.72393798828125,0.00534230750054121
155,0.0,-5.2605340088353145,7001,588.2338043763166,-5.095136642456055,223877,-5.265629145652859,74.01805114746094,0.005095136817544699
166,0.0,-5.501179182325849,7501,466.09301110187994,-5.188467979431152,239866,-5.506367650703886,74.3892593383789,0.005188468378037214
177,0.0,-5.5110819503983555,8001,581.8055416274211,-5.3299479484558105,255855,-5.51641189878267,74.96775817871094,0.0053299483843147755
188,0.0,-5.305199520165967,8501,607.4332407658069,-5.143763542175293,271844,-5.3103432841291,74.50975799560547,0.005143763963133097
200,0.0,-5.249656137042617,9001,406.74289351128584,-5.069209098815918,287832,-5.254725346305346,74.33418273925781,0.005069209262728691
211,0.0,-4.943649630696637,9501,324.84292624552324,-5.020654678344727,303821,-4.948670285456938,74.28266143798828,0.005020654760301113
222,0.0,-4.94958642686839,10001,402.21742057020754,-4.963686466217041,319810,-4.954550113558124,74.17300415039062,0.004963686689734459
